0.000000,0.100000,0.000000,0.000000,0.100000,0.010000
0.001000,0.100000,0.000100,0.000100,0.100000,0.010000
0.002000,0.100000,0.000200,0.000200,0.100000,0.010000
0.003000,0.100000,0.000300,0.000300,0.100000,0.010000
0.004000,0.100001,0.000400,0.000400,0.099999,0.010000
0.005000,0.100001,0.000500,0.000500,0.099999,0.010000
0.006000,0.100002,0.000600,0.000600,0.099999,0.010000
0.007000,0.100002,0.000700,0.000700,0.099998,0.010000
0.008000,0.100003,0.000800,0.000800,0.099997,0.010000
0.009000,0.100004,0.000900,0.000900,0.099996,0.010000
0.010000,0.100005,0.001000,0.001000,0.099996,0.010000
0.011000,0.100006,0.001101,0.001101,0.099995,0.010000
0.012000,0.100007,0.001201,0.001201,0.099993,0.010000
0.013000,0.100008,0.001301,0.001301,0.099992,0.010000
0.014000,0.100009,0.001401,0.001401,0.099991,0.010000
0.015000,0.100011,0.001501,0.001501,0.099990,0.010000
0.016000,0.100012,0.001601,0.001601,0.099988,0.010000
0.017000,0.100014,0.001701,0.001701,0.099986,0.010000
0.018000,0.100015,0.001801,0.001801,0.099985,0.010000
0.019000,0.100017,0.001901,0.001901,0.099983,0.010000
0.020000,0.100019,0.002001,0.002001,0.099981,0.010000
0.021000,0.100021,0.002101,0.002101,0.099979,0.010000
0.022000,0.100023,0.002201,0.002201,0.099977,0.010000
0.023000,0.100025,0.002301,0.002301,0.099975,0.010000
0.024000,0.100028,0.002401,0.002401,0.099972,0.010000
0.025000,0.100030,0.002501,0.002501,0.099970,0.010000
0.026000,0.100033,0.002601,0.002601,0.099968,0.010000
0.027000,0.100035,0.002701,0.002701,0.099965,0.010000
0.028000,0.100038,0.002801,0.002801,0.099962,0.010000
0.029000,0.100041,0.002901,0.002901,0.099959,0.010000
0.030000,0.100044,0.003001,0.003001,0.099957,0.010000
0.031000,0.100047,0.003101,0.003101,0.099954,0.010000
0.032000,0.100050,0.003201,0.003201,0.099950,0.010000
0.033000,0.100053,0.003301,0.003301,0.099947,0.010000
0.034000,0.100056,0.003401,0.003401,0.099944,0.010000
0.035000,0.100060,0.003501,0.003501,0.099941,0.010000
0.036000,0.100063,0.003601,0.003601,0.099937,0.010000
0.037000,0.100067,0.003701,0.003701,0.099933,0.010000
0.038000,0.100070,0.003801,0.003801,0.099930,0.010000
0.039000,0.100074,0.003901,0.003901,0.099926,0.010000
0.040000,0.100078,0.004001,0.004001,0.099922,0.010000
0.041000,0.100082,0.004101,0.004101,0.099918,0.010000
0.042000,0.100086,0.004201,0.004201,0.099914,0.010000
0.043000,0.100090,0.004301,0.004301,0.099910,0.010000
0.044000,0.100095,0.004401,0.004401,0.099905,0.010000
0.045000,0.100099,0.004501,0.004501,0.099901,0.010000
0.046000,0.100104,0.004601,0.004601,0.099897,0.010000
0.047000,0.100108,0.004701,0.004701,0.099892,0.010000
0.048000,0.100113,0.004801,0.004801,0.099887,0.010001
0.049000,0.100118,0.004901,0.004901,0.099882,0.010001
0.050000,0.100123,0.005001,0.005001,0.099878,0.010001
0.051000,0.100128,0.005100,0.005100,0.099873,0.010001
0.052000,0.100133,0.005200,0.005200,0.099867,0.010001
0.053000,0.100138,0.005300,0.005300,0.099862,0.010001
0.054000,0.100143,0.005400,0.005400,0.099857,0.010001
0.055000,0.100149,0.005500,0.005500,0.099852,0.010001
0.056000,0.100154,0.005600,0.005600,0.099846,0.010001
0.057000,0.100160,0.005700,0.005700,0.099840,0.010001
0.058000,0.100165,0.005800,0.005800,0.099835,0.010001
0.059000,0.100171,0.005900,0.005900,0.099829,0.010001
0.060000,0.100177,0.006000,0.006000,0.099823,0.010001
0.061000,0.100183,0.006099,0.006099,0.099817,0.010001
0.062000,0.100189,0.006199,0.006199,0.099811,0.010001
0.063000,0.100195,0.006299,0.006299,0.099805,0.010001
0.064000,0.100202,0.006399,0.006399,0.099798,0.010001
0.065000,0.100208,0.006499,0.006499,0.099792,0.010001
0.066000,0.100215,0.006599,0.006599,0.099786,0.010001
0.067000,0.100221,0.006699,0.006699,0.099779,0.010001
0.068000,0.100228,0.006798,0.006798,0.099772,0.010001
0.069000,0.100235,0.006898,0.006898,0.099765,0.010001
0.070000,0.100242,0.006998,0.006998,0.099759,0.010001
0.071000,0.100249,0.007098,0.007098,0.099752,0.010001
0.072000,0.100256,0.007198,0.007198,0.099745,0.010001
0.073000,0.100263,0.007297,0.007297,0.099737,0.010001
0.074000,0.100270,0.007397,0.007397,0.099730,0.010001
0.075000,0.100278,0.007497,0.007497,0.099723,0.010001
0.076000,0.100285,0.007597,0.007597,0.099715,0.010001
0.077000,0.100293,0.007697,0.007697,0.099708,0.010001
0.078000,0.100300,0.007796,0.007796,0.099700,0.010001
0.079000,0.100308,0.007896,0.007896,0.099692,0.010001
0.080000,0.100316,0.007996,0.007996,0.099684,0.010001
0.081000,0.100324,0.008096,0.008096,0.099676,0.010001
0.082000,0.100332,0.008195,0.008195,0.099668,0.010001
0.083000,0.100340,0.008295,0.008295,0.099660,0.010001
0.084000,0.100349,0.008395,0.008395,0.099652,0.010001
0.085000,0.100357,0.008494,0.008494,0.099643,0.010001
0.086000,0.100366,0.008594,0.008594,0.099635,0.010001
0.087000,0.100374,0.008694,0.008694,0.099626,0.010001
0.088000,0.100383,0.008793,0.008793,0.099617,0.010001
0.089000,0.100392,0.008893,0.008893,0.099609,0.010001
0.090000,0.100401,0.008993,0.008993,0.099600,0.010001
0.091000,0.100410,0.009092,0.009092,0.099591,0.010001
0.092000,0.100419,0.009192,0.009192,0.099582,0.010001
0.093000,0.100428,0.009292,0.009292,0.099572,0.010001
0.094000,0.100437,0.009391,0.009391,0.099563,0.010001
0.095000,0.100447,0.009491,0.009491,0.099554,0.010001
0.096000,0.100456,0.009591,0.009591,0.099544,0.010001
0.097000,0.100466,0.009690,0.009690,0.099535,0.010001
0.098000,0.100475,0.009790,0.009790,0.099525,0.010001
0.099000,0.100485,0.009889,0.009889,0.099515,0.010001
0.100000,0.100495,0.009989,0.009989,0.099505,0.010001
0.101000,0.100505,0.010088,0.010088,0.099495,0.010001
0.102000,0.100515,0.010188,0.010188,0.099485,0.010001
0.103000,0.100525,0.010287,0.010287,0.099475,0.010001
0.104000,0.100536,0.010387,0.010387,0.099465,0.010001
0.105000,0.100546,0.010487,0.010487,0.099454,0.010001
0.106000,0.100557,0.010586,0.010586,0.099444,0.010001
0.107000,0.100567,0.010686,0.010686,0.099433,0.010001
0.108000,0.100578,0.010785,0.010785,0.099423,0.010001
0.109000,0.100589,0.010884,0.010884,0.099412,0.010001
0.110000,0.100600,0.010984,0.010984,0.099401,0.010001
0.111000,0.100611,0.011083,0.011083,0.099390,0.010001
0.112000,0.100622,0.011183,0.011183,0.099379,0.010001
0.113000,0.100633,0.011282,0.011282,0.099368,0.010001
0.114000,0.100644,0.011382,0.011382,0.099357,0.010001
0.115000,0.100655,0.011481,0.011481,0.099345,0.010001
0.116000,0.100667,0.011580,0.011580,0.099334,0.010001
0.117000,0.100679,0.011680,0.011680,0.099322,0.010001
0.118000,0.100690,0.011779,0.011779,0.099310,0.010001
0.119000,0.100702,0.011879,0.011879,0.099299,0.010001
0.120000,0.100714,0.011978,0.011978,0.099287,0.010001
0.121000,0.100726,0.012077,0.012077,0.099275,0.010001
0.122000,0.100738,0.012177,0.012177,0.099263,0.010001
0.123000,0.100750,0.012276,0.012276,0.099251,0.010001
0.124000,0.100762,0.012375,0.012375,0.099238,0.010001
0.125000,0.100775,0.012474,0.012474,0.099226,0.010001
0.126000,0.100787,0.012574,0.012574,0.099214,0.010001
0.127000,0.100800,0.012673,0.012673,0.099201,0.010001
0.128000,0.100813,0.012772,0.012772,0.099188,0.010001
0.129000,0.100825,0.012872,0.012872,0.099176,0.010001
0.130000,0.100838,0.012971,0.012971,0.099163,0.010001
0.131000,0.100851,0.013070,0.013070,0.099150,0.010001
0.132000,0.100864,0.013169,0.013169,0.099137,0.010001
0.133000,0.100877,0.013268,0.013268,0.099123,0.010002
0.134000,0.100891,0.013368,0.013368,0.099110,0.010002
0.135000,0.100904,0.013467,0.013467,0.099097,0.010002
0.136000,0.100918,0.013566,0.013566,0.099083,0.010002
0.137000,0.100931,0.013665,0.013665,0.099070,0.010002
0.138000,0.100945,0.013764,0.013764,0.099056,0.010002
0.139000,0.100959,0.013863,0.013863,0.099042,0.010002
0.140000,0.100972,0.013962,0.013962,0.099029,0.010002
0.141000,0.100986,0.014061,0.014061,0.099015,0.010002
0.142000,0.101000,0.014160,0.014160,0.099001,0.010002
0.143000,0.101015,0.014259,0.014259,0.098986,0.010002
0.144000,0.101029,0.014358,0.014358,0.098972,0.010002
0.145000,0.101043,0.014458,0.014458,0.098958,0.010002
0.146000,0.101058,0.014557,0.014557,0.098943,0.010002
0.147000,0.101072,0.014656,0.014656,0.098929,0.010002
0.148000,0.101087,0.014754,0.014754,0.098914,0.010002
0.149000,0.101102,0.014853,0.014853,0.098899,0.010002
0.150000,0.101117,0.014952,0.014952,0.098885,0.010002
0.151000,0.101132,0.015051,0.015051,0.098870,0.010002
0.152000,0.101147,0.015150,0.015150,0.098855,0.010002
0.153000,0.101162,0.015249,0.015249,0.098839,0.010002
0.154000,0.101177,0.015348,0.015348,0.098824,0.010002
0.155000,0.101192,0.015447,0.015447,0.098809,0.010002
0.156000,0.101208,0.015546,0.015546,0.098793,0.010002
0.157000,0.101223,0.015645,0.015645,0.098778,0.010002
0.158000,0.101239,0.015743,0.015743,0.098762,0.010002
0.159000,0.101255,0.015842,0.015842,0.098746,0.010002
0.160000,0.101271,0.015941,0.015941,0.098731,0.010002
0.161000,0.101287,0.016040,0.016040,0.098715,0.010002
0.162000,0.101303,0.016139,0.016139,0.098699,0.010002
0.163000,0.101319,0.016237,0.016237,0.098683,0.010002
0.164000,0.101335,0.016336,0.016336,0.098666,0.010002
0.165000,0.101351,0.016435,0.016435,0.098650,0.010002
0.166000,0.101368,0.016533,0.016533,0.098634,0.010002
0.167000,0.101384,0.016632,0.016632,0.098617,0.010002
0.168000,0.101401,0.016731,0.016731,0.098600,0.010002
0.169000,0.101418,0.016829,0.016829,0.098584,0.010002
0.170000,0.101435,0.016928,0.016928,0.098567,0.010002
0.171000,0.101452,0.017027,0.017027,0.098550,0.010002
0.172000,0.101469,0.017125,0.017125,0.098533,0.010002
0.173000,0.101486,0.017224,0.017224,0.098516,0.010002
0.174000,0.101503,0.017322,0.017322,0.098499,0.010002
0.175000,0.101520,0.017421,0.017421,0.098481,0.010002
0.176000,0.101538,0.017520,0.017520,0.098464,0.010002
0.177000,0.101555,0.017618,0.017618,0.098446,0.010002
0.178000,0.101573,0.017717,0.017717,0.098429,0.010002
0.179000,0.101591,0.017815,0.017815,0.098411,0.010002
0.180000,0.101608,0.017914,0.017914,0.098393,0.010002
0.181000,0.101626,0.018012,0.018012,0.098375,0.010002
0.182000,0.101644,0.018110,0.018110,0.098357,0.010002
0.183000,0.101662,0.018209,0.018209,0.098339,0.010002
0.184000,0.101681,0.018307,0.018307,0.098321,0.010002
0.185000,0.101699,0.018406,0.018406,0.098303,0.010002
0.186000,0.101717,0.018504,0.018504,0.098284,0.010002
0.187000,0.101736,0.018602,0.018602,0.098266,0.010002
0.188000,0.101755,0.018701,0.018701,0.098247,0.010002
0.189000,0.101773,0.018799,0.018799,0.098229,0.010002
0.190000,0.101792,0.018897,0.018897,0.098210,0.010002
0.191000,0.101811,0.018995,0.018995,0.098191,0.010002
0.192000,0.101830,0.019094,0.019094,0.098172,0.010002
0.193000,0.101849,0.019192,0.019192,0.098153,0.010002
0.194000,0.101868,0.019290,0.019290,0.098134,0.010002
0.195000,0.101888,0.019388,0.019388,0.098114,0.010002
0.196000,0.101907,0.019486,0.019486,0.098095,0.010002
0.197000,0.101926,0.019585,0.019585,0.098075,0.010002
0.198000,0.101946,0.019683,0.019683,0.098056,0.010002
0.199000,0.101966,0.019781,0.019781,0.098036,0.010002
0.200000,0.101986,0.019879,0.019879,0.098016,0.010002
0.201000,0.102005,0.019977,0.019977,0.097997,0.010002
0.202000,0.102025,0.020075,0.020075,0.097977,0.010002
0.203000,0.102045,0.020173,0.020173,0.097957,0.010002
0.204000,0.102066,0.020271,0.020271,0.097936,0.010002
0.205000,0.102086,0.020369,0.020369,0.097916,0.010002
0.206000,0.102106,0.020467,0.020467,0.097896,0.010002
0.207000,0.102127,0.020565,0.020565,0.097875,0.010002
0.208000,0.102147,0.020663,0.020663,0.097855,0.010003
0.209000,0.102168,0.020761,0.020761,0.097834,0.010003
0.210000,0.102189,0.020859,0.020859,0.097813,0.010003
0.211000,0.102210,0.020956,0.020956,0.097793,0.010003
0.212000,0.102231,0.021054,0.021054,0.097772,0.010003
0.213000,0.102252,0.021152,0.021152,0.097751,0.010003
0.214000,0.102273,0.021250,0.021250,0.097729,0.010003
0.215000,0.102294,0.021348,0.021348,0.097708,0.010003
0.216000,0.102316,0.021445,0.021445,0.097687,0.010003
0.217000,0.102337,0.021543,0.021543,0.097665,0.010003
0.218000,0.102359,0.021641,0.021641,0.097644,0.010003
0.219000,0.102380,0.021739,0.021739,0.097622,0.010003
0.220000,0.102402,0.021836,0.021836,0.097600,0.010003
0.221000,0.102424,0.021934,0.021934,0.097579,0.010003
0.222000,0.102446,0.022032,0.022032,0.097557,0.010003
0.223000,0.102468,0.022129,0.022129,0.097535,0.010003
0.224000,0.102490,0.022227,0.022227,0.097513,0.010003
0.225000,0.102512,0.022324,0.022324,0.097490,0.010003
0.226000,0.102534,0.022422,0.022422,0.097468,0.010003
0.227000,0.102557,0.022519,0.022519,0.097446,0.010003
0.228000,0.102579,0.022617,0.022617,0.097423,0.010003
0.229000,0.102602,0.022714,0.022714,0.097401,0.010003
0.230000,0.102625,0.022812,0.022812,0.097378,0.010003
0.231000,0.102648,0.022909,0.022909,0.097355,0.010003
0.232000,0.102671,0.023007,0.023007,0.097332,0.010003
0.233000,0.102694,0.023104,0.023104,0.097309,0.010003
0.234000,0.102717,0.023201,0.023201,0.097286,0.010003
0.235000,0.102740,0.023299,0.023299,0.097263,0.010003
0.236000,0.102763,0.023396,0.023396,0.097240,0.010003
0.237000,0.102787,0.023493,0.023493,0.097216,0.010003
0.238000,0.102810,0.023591,0.023591,0.097193,0.010003
0.239000,0.102834,0.023688,0.023688,0.097169,0.010003
0.240000,0.102857,0.023785,0.023785,0.097145,0.010003
